"ChildID","SchoolId","Male","Race","SES","FLunch","Age","time0","time1","time2","time3","time7","time11"
"0015003C",15,1,"White",-0.23,52.38,64,32.8,35,37.53,63.55,144.29,128.32
"0015004C",15,1,"White",-0.35,52.38,61,24.99,30.04,38.1,56.72,82.91,104.84
"0015005C",15,0,"White",-0.74,52.38,62,49.66,86.76,101.27,147.93,174.23,169.27
"0015006C",15,1,"White",0.07,52.38,74,30.95,38.93,40.53,60.86,123.92,147.19
"0015008C",15,0,"White",-0.51,52.38,61,24.5,28.54,24.52,34.7,51.68,66.81
"0015009C",15,0,"White",-0.54,52.38,70,25.39,36.22,42.05,59.43,105.29,130.09
"0015010C",15,1,"White",-0.07,52.38,75,43.45,74.53,97.17,148.15,166.67,163.78
"0015013C",15,1,"White",-0.45,52.38,63,31.3,40.36,52.16,89.17,160.3,182.57
"0015014C",15,0,"White",-0.03,52.38,62,48.88,52.32,52.77,64.79,146.05,174.69
"0015016C",15,1,"White",-0.87,52.38,68,24.82,28.09,33.61,50.57,67.61,80.54
"0015017C",15,1,"White",-1.15,52.38,71,22.83,28.2,30.4,46.49,61.12,84.23
"0015019C",15,0,"White",-0.19,52.38,66,40.68,44.63,47.01,66.76,119.42,120.09
"0015020C",15,0,"White",0.79,52.38,79,49.46,76.16,93.33,146.28,135.1,166.14
"0015021C",15,0,"White",-0.64,52.38,67,23.54,29.17,31.82,48.32,75.18,105.02
"0015022C",15,1,"White",-0.17,52.38,61,25.07,31.22,35.26,49.66,92.83,128.2
"0015023C",15,1,"White",-0.24,52.38,66,23.04,28.07,30.2,47.56,52.81,88.83
"0015025C",15,1,"White",-0.1,52.38,70,29.58,45.33,48.84,59.6,127.38,153.35
"0015026C",15,1,"White",1,52.38,75,32.64,36.09,52.09,62.32,169.26,174.1
"0021001C",21,0,"White",-0.68,42.86,65,33.21,44.16,48.06,88.94,141.07,126.11
"0021002C",21,0,"White",-0.57,42.86,61,33.93,40.76,47.02,76.25,164.14,176.58
"0022001C",22,1,"White",-0.07,16.29,63,26.01,28.53,43.88,66.44,108.3,134.36
"0022002C",22,1,"White",0.48,16.29,71,33.41,48.25,56.02,74.82,117.92,152.22
"0022003C",22,0,"White",-0.38,16.29,69,25.32,38.4,41.8,66.58,126.56,149.05
"0022004C",22,0,"White",-0.22,16.29,63,28.75,31.12,33.78,40.59,67.51,85.06
"0022005C",22,0,"White",1.14,16.29,61,31.96,41.53,46.37,74.29,149.07,181.47
"0022006C",22,1,"White",-0.03,16.29,60,34.24,43.86,46.05,59.69,127.84,127.52
"0022007C",22,1,"White",-0.66,16.29,67,35.24,36.12,38.87,59.69,79.89,89.45
"0022008C",22,0,"White",-0.48,16.29,66,33.54,48.6,48.04,67.24,126.42,147.58
"0022009C",22,1,"White",-0.36,16.29,66,27.73,41.19,48.22,92.66,165.1,197.07
"0022012C",22,1,"White",-0.28,16.29,64,23.55,33.54,36.15,53.28,70.28,106
"0022013C",22,0,"White",0.36,16.29,69,27.88,48,43.15,90.76,163.31,183.6
"0022014C",22,1,"White",-0.12,16.29,62,32.25,47.73,53.55,69.88,150.65,183.99
"0022016C",22,0,"White",0.3,16.29,64,32.75,39.82,40.53,65.13,90.36,126.67
"0022017C",22,0,"White",-0.38,16.29,60,24.8,45.91,47.32,54.9,129.79,165.5
"0022018C",22,1,"White",0.22,16.29,61,34.24,51.15,51.72,105.95,141.54,182.24
"0022019C",22,0,"White",1.09,16.29,61,30.69,41.57,47.83,76.42,150.39,171.43
"0022021C",22,1,"White",0.9,16.29,70,37.24,51.07,55.68,94.11,136.47,174.58
"0022023C",22,0,"White",0.28,16.29,64,34.28,46.66,49.72,69.61,137.7,165.82
"0022024C",22,1,"White",1.86,16.29,62,29.24,46.67,50.78,56,110.37,181.63
"0023001C",23,1,"White",-0.86,29.5,66,24.92,36.07,47.61,64.89,147.78,181.41
"0023002C",23,1,"White",-0.74,29.5,68,26.74,27.43,28.22,41.45,76.7,122.39
"0023003C",23,1,"White",0.1,29.5,70,36.18,51.57,52.21,102.84,131.88,147.71
"0023004C",23,0,"Hispanic",0.67,29.5,68,28.62,47.32,51.48,105.37,126.14,147.94
"0023005C",23,0,"White",0.5,29.5,68,37.27,49.09,50.42,88.85,140,150.29
"0023006C",23,1,"White",-0.37,29.5,64,28.06,33.73,39.02,50.29,84.63,113.94
"0023007C",23,1,"White",0.03,29.5,60,28.55,38.52,45.74,71.84,108.24,136.37
"0023009C",23,1,"Asian",-0.04,29.5,67,30.75,31.74,35.03,64.78,120.01,125.59
"0023010C",23,1,"White",0.95,29.5,71,27.31,37.73,44.23,58.41,95.78,122.4
"0023011C",23,0,"White",-0.32,29.5,70,31.03,46.02,48.47,66.5,123.04,127.93
"0023012C",23,1,"White",0.5,29.5,64,32.06,51.6,49.21,65.65,153.59,165.64
"0023013C",23,0,"White",-0.42,29.5,69,33.36,47.77,47.15,67.96,130.67,144.2
"0023015C",23,1,"White",0.3,29.5,65,33.77,44.61,49.92,65.78,131.33,168.14
"0023016C",23,0,"White",0.53,29.5,61,39.39,55.12,66.98,104.03,172.68,163.78
"0023017C",23,0,"White",-0.11,29.5,63,39.84,53.53,61.51,76.49,169.15,181.47
"0023018C",23,1,"White",0.81,29.5,63,34.43,50.1,52.38,91.75,167.32,189.18
"0023019C",23,0,"White",-0.46,29.5,60,51.6,107.99,132.42,127,166.62,170.03
"0023020C",23,1,"White",0.5,29.5,69,32.17,40.88,43.16,52.42,124.51,148.57
"0023021C",23,0,"White",-0.38,29.5,60,28.94,45.39,55.75,84.71,119.18,151.83
"0023022C",23,0,"White",0.01,29.5,66,37.57,47.45,49.23,65.51,110.58,123.31
"0023023C",23,0,"White",1.14,29.5,67,28.89,40.46,42.29,59.47,137.3,166.14
"0023024C",23,0,"White",-0.67,29.5,61,23.81,26.54,32.33,48.17,76.53,87.67
"0023025C",23,1,"White",-0.74,29.5,59,22.44,30.33,28.17,46.49,62.05,92.64
"0025001C",25,1,"Hispanic",2,16.29,58,32.58,62.23,78.35,130.92,168.64,182.21
"0025002C",25,1,"White",-0.74,36.38,63,23.35,50.99,52.01,75.28,104.97,150.36
"0025003C",25,0,"White",-0.04,29.5,61,39.88,60.38,85.33,99.63,165.89,164.26
"0025005C",25,0,"White",1.17,29.5,71,41.63,63.27,66.07,90.62,128.02,164.88
"0025006C",25,1,"White",-0.9,36.38,68,23.62,38.52,27.96,36.55,67.99,87.77
"0025007C",25,1,"White",-0.22,0,63,27.4,41.95,44.33,46.65,87.44,106.85
"0025011C",25,0,"White",-0.39,1.25,65,26.9,49.42,42.7,61.16,108.52,126
"0025012C",25,1,"White",-0.8,29.01,62,32.31,37.15,48.52,74.29,124.88,137.75
"0025014C",25,0,"White",0.01,4.73,69,37.34,62.43,86.62,117.33,146.25,189.33
"0025016C",25,0,"White",-1.05,36.38,69,36.37,61.28,58.03,93.12,167.21,182.32
"0025017C",25,1,"White",-0.87,31.52,54,26.66,34.74,37.08,42.7,120.7,126.25
"0025019C",25,0,"White",-1.15,36.38,62,31.31,36.88,46.05,79.24,147.56,174.69
"0025020C",25,0,"White",-0.26,36.38,69,34.69,48.8,60.07,87.37,146.12,174.82
"0025021C",25,1,"White",-0.43,19.34,67,34.37,49.09,53.03,88.39,146.48,163.82
"0025022C",25,1,"Hispanic",-0.34,15.36,67,24.84,50.63,49.74,75.67,126.14,126.68
"0025023C",25,1,"White",-1.44,1.25,66,43.38,50.72,54.11,76.25,125.22,134
"0025024C",25,0,"White",-1.03,65.45,62,22.24,40.17,37.33,50.77,70.06,78.82
"0037001C",37,1,"Asian",-0.68,1.25,60,30.71,49.5,52.75,67.1,103.58,150.36
"0037002C",37,1,"Asian",-0.46,36.7,54,34.23,54.29,61.46,72.51,97.4,129.17
"0037003C",37,1,"Hispanic",1.25,4.05,66,30.07,47.03,66.24,96.31,124.49,148.62
"0037004C",37,1,"Black",-0.97,29.93,69,37.81,44.3,46.11,58.87,74.57,88.95
"0037005C",37,0,"Black",-0.79,31.52,56,45.86,65.04,75.61,125.94,125.38,148.78
"0037006C",37,0,"Black",-0.94,25.82,66,29.58,40.79,44.21,50.8,104.62,127.96
"0037008C",37,0,"Black",-1.16,25.82,62,26.95,45.13,39.89,65.26,106.55,119.6
"0037011C",37,1,"White",-0.74,4.73,54,28.63,37.25,35.28,47.88,67.61,76.3
"0037013C",37,0,"Hispanic",-0.93,65.45,59,32.71,39.36,42.33,60.61,103.19,127.25
"0037014C",37,1,"White",-0.23,10.34,55,26.69,42.37,42.89,72.5,92.95,125.47
"0037015C",37,0,"Black",-0.22,56.73,66,28.78,42.92,40.62,69.22,134.02,160.11
"0037016C",37,1,"Black",-0.32,25.82,62,28.56,32.25,39.6,71.02,104.28,126.23
"0037017C",37,1,"Black",-0.73,25.82,56,35.32,49.75,51.68,67.94,143.85,145.74
"0037018C",37,1,"Black",-0.68,31.52,64,30.53,48.7,44.09,86.11,110.69,147.26
"0037019C",37,1,"Black",-0.81,41.22,68,28.24,36.65,41.41,50.86,86.91,104.84
"0037020C",37,1,"Black",-1.24,31.52,64,39.32,43.07,58.22,91.72,122.09,147.77
"0037021C",37,0,"Black",0.18,27.03,59,43.19,58.06,65.79,88.35,164.69,166.47
"0037023C",37,0,"Hispanic",-0.21,44.96,54,29.26,45.84,48.58,84.22,109.15,120.44
"0037025C",37,0,"Black",-0.94,87.7,62,25.24,33.95,40.15,66.23,86.18,104.59
"0040003C",40,0,"White",-0.87,15.36,54,26.48,44.75,51.64,88.39,136.89,188.22
